import time: self [us] | cumulative | imported package
import time:      2702 |       2702 |         starlette.middleware.exceptions
import time:      1912 |       9242 |       starlette.applications
import time:      1690 |       1690 |       starlette.middleware.base
import time:      9561 |    1235003 |     fastapi.applications
import time:      1308 |       1308 |     fastapi.requests
import time:      3550 |    1247063 |   fastapi
import time:      1081 |       1081 |     starlette.middleware.cors
import time:      1700 |       2781 |   fastapi.middleware.cors
import time:       180 |        180 |     app.routes
import time:       159 |        159 |       app.models
import time:      8176 |       8334 |     app.models.user
import time:      2181 |       2181 |           motor._version
import time:       294 |        294 |           tornado
import time:      1430 |       3904 |         motor
import time:      3956 |       3956 |             pymongo._csot
import time:      1412 |       1412 |             pymongo._version
import time:      1126 |       1126 |               pymongo.asynchronous
import time:      1999 |       1999 |                     _heapq
import time:       699 |       2698 |                   heapq
import time:      3313 |       3313 |                   asyncio.constants
import time:      1638 |       1638 |                   asyncio.coroutines
import time:      1581 |       1581 |                     asyncio.format_helpers
import time:      1504 |       1504 |                       asyncio.base_futures
import time:      1828 |       1828 |                       asyncio.exceptions
import time:      1830 |       1830 |                       asyncio.base_tasks
import time:      3413 |       8572 |                     _asyncio
import time:      2274 |      12426 |                   asyncio.events
import time:      3735 |       3735 |                   asyncio.futures
import time:      1808 |       1808 |                   asyncio.protocols
import time:      2172 |       2172 |                     asyncio.transports
import time:      1739 |       1739 |                     asyncio.log
import time:      2720 |       6630 |                   asyncio.sslproto
import time:      3950 |       3950 |                       asyncio.mixins
import time:      1721 |       5671 |                     asyncio.locks
import time:      1811 |       1811 |                       asyncio.queues
import time:      2491 |       2491 |                       asyncio.timeouts
import time:      2251 |       6552 |                     asyncio.tasks
import time:      2056 |      14278 |                   asyncio.staggered
import time:      2018 |       2018 |                   asyncio.trsock
import time:      4111 |      52649 |                 asyncio.base_events
import time:      2045 |       2045 |                 asyncio.runners
import time:      2865 |       2865 |                 asyncio.streams
import time:      2966 |       2966 |                 asyncio.subprocess
import time:      1914 |       1914 |                 asyncio.taskgroups
import time:      1452 |       1452 |                 asyncio.threads
import time:      2060 |       2060 |                   asyncio.base_subprocess
import time:      3171 |       3171 |                   asyncio.selector_events
import time:      4529 |       9759 |                 asyncio.unix_events
import time:      2145 |      75792 |               asyncio
import time:      5029 |       5029 |                   bson.binary
import time:      3240 |       3240 |                   bson.code
import time:      3810 |       3810 |                     bson.typings
import time:      3447 |       7257 |                   bson.codec_options
import time:      8146 |       8146 |                     calendar
import time:      3366 |       3366 |                     bson.errors
import time:      2201 |       2201 |                     bson.tz_util
import time:      2383 |      16094 |                   bson.datetime_ms
import time:      1913 |       1913 |                     bson._helpers
import time:      2772 |       2772 |                     bson.son
